iteration 1 max error 11.488971 
iteration 2 max error 7.133656 
iteration 3 max error 6.324659 
iteration 4 max error 5.635726 
iteration 5 max error 5.038824 
iteration 6 max error 4.512494 
iteration 7 max error 4.045202 
iteration 8 max error 3.628693 
iteration 9 max error 3.256548 
iteration 10 max error 2.923567 
-53.7414 -51.5643 -49.7663 -48.1217  -46.583
-53.7401 -51.5633 -49.7654 -48.1209 -46.5822
-53.7388 -51.5623 -49.7645   -48.12 -46.5814
-53.7375 -51.5613 -49.7636 -48.1192 -46.5806
-53.7362 -51.5603 -49.7627 -48.1184 -46.5798
-53.7349 -51.5593 -49.7618 -48.1175  -46.579
-53.7336 -51.5583 -49.7609 -48.1167 -46.5782
-53.7323 -51.5573   -49.76 -48.1158 -46.5774
 -53.731 -51.5563 -49.7591  -48.115 -46.5766
-53.7297 -51.5553 -49.7582 -48.1142 -46.5758
-53.7284 -51.5543 -49.7573 -48.1133  -46.575
-53.7271 -51.5534 -49.7564 -48.1125 -46.5743
-53.7258 -51.5524 -49.7555 -48.1116 -46.5735
-53.7245 -51.5514 -49.7546 -48.1108 -46.5727
-53.7232 -51.5504 -49.7537   -48.11 -46.5719
-53.7219 -51.5494 -49.7528 -48.1091 -46.5711
-53.7207 -51.5484 -49.7519 -48.1083 -46.5703
-53.7194 -51.5474  -49.751 -48.1074 -46.5695
-53.7181 -51.5464 -49.7501 -48.1066 -46.5687
-53.7168 -51.5454 -49.7492 -48.1058 -46.5679
-53.7155 -51.5444 -49.7483 -48.1049 -46.5671
-53.7142 -51.5434 -49.7474 -48.1041 -46.5663
-53.7129 -51.5424 -49.7465 -48.1032 -46.5655
-53.7116 -51.5414 -49.7456 -48.1024 -46.5647
-53.7103 -51.5404 -49.7447 -48.1016 -46.5639
 -53.709 -51.5394 -49.7437 -48.1007 -46.5631
-53.7077 -51.5385 -49.7428 -48.0999 -46.5623
-53.7064 -51.5375 -49.7419  -48.099 -46.5615
-53.7052 -51.5365  -49.741 -48.0982 -46.5607
-53.7039 -51.5355 -49.7401 -48.0974 -46.5599
-53.7026 -51.5345 -49.7392 -48.0965 -46.5591
-53.7013 -51.5335 -49.7383 -48.0957 -46.5583
   -53.7 -51.5325 -49.7374 -48.0948 -46.5575
-53.6987 -51.5315 -49.7365  -48.094 -46.5567
-53.6974 -51.5305 -49.7356 -48.0932 -46.5559
-53.6961 -51.5295 -49.7347 -48.0923 -46.5551
-53.6948 -51.5285 -49.7338 -48.0915 -46.5543
-53.6935 -51.5275 -49.7329 -48.0906 -46.5536
-53.6923 -51.5266  -49.732 -48.0898 -46.5528
 -53.691 -51.5256 -49.7311  -48.089  -46.552
-53.6897 -51.5246 -49.7302 -48.0881 -46.5512
-53.6884 -51.5236 -49.7293 -48.0873 -46.5504
-53.6871 -51.5226 -49.7284 -48.0864 -46.5496
-53.6858 -51.5216 -49.7275 -48.0856 -46.5488
-53.6845 -51.5206 -49.7266 -48.0848  -46.548
-53.6832 -51.5196 -49.7257 -48.0839 -46.5472
 -53.682 -51.5186 -49.7248 -48.0831 -46.5464
-53.6807 -51.5176 -49.7239 -48.0823 -46.5456
-53.6794 -51.5167  -49.723 -48.0814 -46.5448
-53.6781 -51.5157 -49.7221 -48.0806  -46.544
-53.6768 -51.5147 -49.7212 -48.0797 -46.5432
-53.6755 -51.5137 -49.7203 -48.0789 -46.5424
-53.6742 -51.5127 -49.7194 -48.0781 -46.5416
-53.6729 -51.5117 -49.7185 -48.0772 -46.5408
-53.6717 -51.5107 -49.7176 -48.0764   -46.54
-53.6704 -51.5097 -49.7167 -48.0755 -46.5392
-53.6691 -51.5087 -49.7158 -48.0747 -46.5384
-53.6678 -51.5078 -49.7149 -48.0739 -46.5376
-53.6665 -51.5068  -49.714  -48.073 -46.5368
-53.6652 -51.5058 -49.7131 -48.0722  -46.536
 -53.664 -51.5048 -49.7122 -48.0713 -46.5353
-53.6627 -51.5038 -49.7113 -48.0705 -46.5345
-53.6614 -51.5028 -49.7104 -48.0697 -46.5337
-53.6601 -51.5018 -49.7095 -48.0688 -46.5329
-53.6588 -51.5008 -49.7086  -48.068 -46.5321
-53.6575 -51.4999 -49.7077 -48.0672 -46.5313
-53.6562 -51.4989 -49.7068 -48.0663 -46.5305
 -53.655 -51.4979 -49.7059 -48.0655 -46.5297
-53.6537 -51.4969  -49.705 -48.0646 -46.5289
-53.6524 -51.4959 -49.7041 -48.0638 -46.5281
-53.6511 -51.4949 -49.7032  -48.063 -46.5273
-53.6498 -51.4939 -49.7023 -48.0621 -46.5265
-53.6485  -51.493 -49.7014 -48.0613 -46.5257
-53.6473  -51.492 -49.7005 -48.0605 -46.5249
 -53.646  -51.491 -49.6996 -48.0596 -46.5241
-53.6447   -51.49 -49.6987 -48.0588 -46.5233
-53.6434  -51.489 -49.6978 -48.0579 -46.5225
-53.6421  -51.488 -49.6969 -48.0571 -46.5217
-53.6409  -51.487  -49.696 -48.0563 -46.5209
-53.6396  -51.486 -49.6951 -48.0554 -46.5201
-53.6383 -51.4851 -49.6942 -48.0546 -46.5193
 -53.637 -51.4841 -49.6933 -48.0537 -46.5186
-53.6357 -51.4831 -49.6924 -48.0529 -46.5178
-53.6345 -51.4821 -49.6915 -48.0521  -46.517
-53.6332 -51.4811 -49.6906 -48.0512 -46.5162
-53.6319 -51.4801 -49.6897 -48.0504 -46.5154
-53.6306 -51.4791 -49.6888 -48.0496 -46.5146
-53.6293 -51.4782 -49.6879 -48.0487 -46.5138
-53.6281 -51.4772  -49.687 -48.0479  -46.513
-53.6268 -51.4762 -49.6861  -48.047 -46.5122
-53.6255 -51.4752 -49.6852 -48.0462 -46.5114
-53.6242 -51.4742 -49.6843 -48.0454 -46.5106
-53.6229 -51.4732 -49.6834 -48.0445 -46.5098
-53.6217 -51.4722 -49.6825 -48.0437  -46.509
-53.6204 -51.4713 -49.6816 -48.0429 -46.5082
-53.6191 -51.4703 -49.6807  -48.042 -46.5074
-53.6178 -51.4693 -49.6798 -48.0412 -46.5066
-53.6165 -51.4683 -49.6789 -48.0403 -46.5058
-53.6153 -51.4673  -49.678 -48.0395  -46.505
 -53.614 -51.4663 -49.6771 -48.0387 -46.5043
-53.6127 -51.4654 -49.6762 -48.0378 -46.5035
-53.6114 -51.4644 -49.6753  -48.037 -46.5027
-53.6102 -51.4634 -49.6744 -48.0362 -46.5019
-53.6089 -51.4624 -49.6735 -48.0353 -46.5011
-53.6076 -51.4614 -49.6726 -48.0345 -46.5003
-53.6063 -51.4604 -49.6717 -48.0336 -46.4995
-53.6051 -51.4594 -49.6708 -48.0328 -46.4987
-53.6038 -51.4585 -49.6699  -48.032 -46.4979
